id,isdrawn,category,rank,serviceline,prizewon,donation,registereddatetime,registered,name,empid
0,False,general,Manager,consulting,,,2024-10-17 14:58:46 ,True,Rhonda Nguyen,4392811
1,False,intern,Manager,cyber,,,,False,Donna Sampson,07104
2,False,general,Senior,assurance,,,2024-10-17 14:58:46 ,True,Glenn Gibbs,7040937
3,False,general,Junior,cyber,,,2024-10-17 14:58:46 ,True,Shelly Kennedy,971652
4,False,intern,Senior,assurance,,,2024-10-17 14:58:46 ,True,Karen Wells,09239
5,False,intern,Manager,tax,,,2024-10-17 14:58:46 ,True,Brittney Ryan,96815
6,False,intern,,audit,,,2024-10-17 14:58:46 ,True,Rebecca Luna,9582925
7,False,general,Manager,tax,,,2024-10-17 14:58:46 ,True,Hailey Rivera,2742624
8,False,general,Junior,consulting,,,2024-10-17 14:58:46 ,True,Mrs. Terry Fisher,56233
9,False,general,Manager,tax,,,2024-10-17 14:58:46 ,True,John Walker,86747
10,False,intern,,audit,,,2024-10-17 14:58:46 ,True,Janice Chandler,01347
11,False,general,Senior,assurance,,,2024-10-17 14:58:46 ,True,Ms. Hannah Nixon,3051892
12,False,intern,,audit,,,2024-10-17 14:58:46 ,True,Michael Chen,2647524
13,False,general,,audit,,,2024-10-17 14:58:46 ,True,Johnny Ward,415015
14,False,general,Manager,assurance,,,2024-10-17 14:58:46 ,True,Daniel Perry,979826
15,False,general,Senior,consulting,,,,False,Desiree Daniel,402389
16,False,general,,consulting,,,2024-10-17 14:58:46 ,True,David Peters,266227
17,False,intern,Junior,cyber,,,,False,Ryan Lee,110192
18,False,general,Senior,tax,,,2024-10-17 14:58:46 ,True,Linda Taylor,742480
19,False,general,,consulting,,,2024-10-17 14:58:46 ,True,Michael Jackson,832249
20,False,general,Senior,tax,,,2024-10-17 14:58:46 ,True,Valerie Tate,97108
21,False,general,,assurance,,,2024-10-17 14:58:46 ,True,Lori Johnson,3935318
22,False,intern,Senior,audit,,,2024-10-17 14:58:46 ,True,Jennifer Jones,881186
23,False,intern,Senior,consulting,,,,False,Ryan Spencer,1449547
24,False,general,Senior,tax,,,2024-10-17 14:58:46 ,True,Wendy Peters,635979
25,False,general,,tax,,,2024-10-17 14:58:46 ,True,Deborah Douglas,451564
26,False,general,Senior,tax,,,2024-10-17 14:58:46 ,True,Dominique Murray,026768
27,False,intern,Manager,cyber,,,2024-10-17 14:58:46 ,True,Phillip Pitts,44819
28,False,general,,cyber,,,2024-10-17 14:58:46 ,True,Carrie Webster,4266452
29,False,general,,tax,,,2024-10-17 14:58:46 ,True,Jeffrey Crawford,3950199
30,False,intern,Manager,cyber,,,2024-10-17 14:58:46 ,True,Monica Green,06390
31,False,general,Manager,tax,,,2024-10-17 14:58:46 ,True,Tyler Jackson,645976
32,False,general,Junior,tax,,,2024-10-17 14:58:46 ,True,Drew Hooper,7191737
33,False,intern,,assurance,,,2024-10-17 14:58:46 ,True,Jordan Guerrero,134979
34,False,intern,,assurance,,,2024-10-17 14:58:46 ,True,Mary Matthews,007857
35,False,general,,assurance,,,2024-10-17 14:58:46 ,True,Scott Pearson,7526068
36,False,intern,,consulting,,,2024-10-17 14:58:46 ,True,Charles Howard,3563642
37,False,general,Manager,tax,,,2024-10-17 14:58:46 ,True,Amber Hubbard,805472
38,False,general,,consulting,,,2024-10-17 14:58:46 ,True,Amber Mills,32391
39,False,general,Junior,cyber,,,2024-10-17 14:58:46 ,True,Daisy Stokes,0671747
40,False,intern,Manager,tax,,,2024-10-17 14:58:46 ,True,Jesse Anderson,4252055
41,False,intern,,assurance,,,2024-10-17 14:58:46 ,True,Brenda Fowler,272917
42,False,intern,,tax,,,2024-10-17 14:58:46 ,True,Dr. Sean Dixon II,8859812
43,False,general,Junior,consulting,,,,False,Amy Williams,88672
44,False,intern,Manager,assurance,,,2024-10-17 14:58:46 ,True,Jordan Young,67393
45,False,general,,tax,,,2024-10-17 14:58:46 ,True,Brooke Callahan,728390
46,False,general,Manager,consulting,,,2024-10-17 14:58:46 ,True,Carrie Ferguson,2956170
